valueDate,notes,organization,email,clientName,amount,currency
07-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,BR,662,USD
05-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PT,872,USD
01-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PH,338,USD
11-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,274,USD
23-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,TH,492,USD
02-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PL,747,USD
20-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,441,USD
24-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,763,USD
08-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,388,USD
31-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CO,429,USD
25-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,BA,338,USD
21-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,BR,564,USD
27-Sep-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,640,USD
26-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,RU,862,USD
20-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,RU,499,USD
22-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PH,467,USD
04-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,FI,125,USD
02-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,825,USD
07-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,SE,736,USD
15-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,FI,881,USD
12-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,BR,450,USD
09-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PH,193,USD
03-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,759,USD
11-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,442,USD
29-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CA,698,USD
31-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,JP,394,USD
11-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PT,868,USD
02-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,761,USD
17-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,250,USD
06-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,LA,887,USD
18-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,599,USD
14-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,JM,696,USD
02-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,206,USD
02-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,616,USD
11-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,480,USD
26-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,656,USD
06-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,SE,132,USD
23-Dec-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CD,601,USD
22-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,MX,868,USD
11-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,106,USD
06-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PL,938,USD
20-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MK,523,USD
14-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,899,USD
12-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,US,967,USD
12-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,264,USD
01-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,985,USD
21-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,RU,284,USD
19-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,SE,797,USD
14-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,363,USD
19-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,866,USD
22-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,AF,850,USD
28-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,924,USD
27-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,641,USD
21-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,US,132,USD
30-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BA,202,USD
13-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,LR,881,USD
21-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,UA,698,USD
03-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,489,USD
14-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PT,688,USD
29-Sep-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,VN,517,USD
03-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,TZ,898,USD
14-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MX,569,USD
21-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,508,USD
07-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,648,USD
14-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,1000,USD
04-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MX,236,USD
03-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,RS,685,USD
27-Sep-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BR,115,USD
28-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,NG,241,USD
08-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PN,858,USD
12-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,UA,221,USD
10-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,804,USD
01-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,KE,945,USD
12-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PK,347,USD
07-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,TJ,635,USD
29-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,JP,417,USD
13-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PL,138,USD
19-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,SE,743,USD
17-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,284,USD
17-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BY,173,USD
24-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,980,USD
30-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,AR,460,USD
14-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,495,USD
26-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,VN,138,USD
16-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,206,USD
30-Sep-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,718,USD
11-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,LK,536,USD
13-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,386,USD
19-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PT,417,USD
06-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,211,USD
06-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,437,USD
24-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,US,132,USD
31-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PK,385,USD
02-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,542,USD
20-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,AZ,327,USD
14-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,977,USD
06-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,544,USD
22-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,175,USD
22-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,US,522,USD
05-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,353,USD
23-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,AR,860,USD
09-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,SI,871,USD
17-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MA,229,USD
21-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,NG,960,USD
10-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MA,256,USD
26-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PL,977,USD
16-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BY,465,USD
30-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,EG,841,USD
26-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CO,346,USD
23-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,SV,890,USD
27-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,509,USD
12-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CZ,128,USD
09-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,415,USD
20-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,814,USD
28-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,189,USD
03-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,SY,768,USD
01-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CZ,306,USD
10-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,UA,497,USD
16-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,MX,808,USD
05-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,UG,829,USD
26-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,US,377,USD
21-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,747,USD
28-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,KE,829,USD
14-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BR,268,USD
16-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,JP,292,USD
28-Sep-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,679,USD
24-Oct-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,IE,410,USD
07-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BR,515,USD
04-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,VN,304,USD
19-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PE,681,USD
29-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,VE,908,USD
29-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BR,904,USD
19-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,RU,825,USD
12-Nov-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,980,USD
22-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,UG,636,USD
03-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,CN,748,USD
17-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,DE,649,USD
26-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,BR,990,USD
19-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,ID,418,USD
14-Dec-21,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PE,508,USD
18-Jan-22,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,PH,834,USD
20-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,AZ,553,USD
26-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,US,134,USD
18-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,BW,462,USD
16-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,236,USD
25-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,553,USD
24-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PE,457,USD
26-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,UA,631,USD
15-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PH,302,USD
15-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,256,USD
17-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,TH,211,USD
01-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,FR,326,USD
11-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,AM,373,USD
26-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,KZ,410,USD
21-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,AR,287,USD
25-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,OM,314,USD
14-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,BR,557,USD
09-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,750,USD
17-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,RU,127,USD
12-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PH,434,USD
10-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,OM,281,USD
01-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PH,398,USD
06-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,372,USD
01-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,555,USD
30-Sep-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PT,246,USD
23-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,GR,532,USD
10-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,188,USD
24-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,MA,432,USD
02-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,928,USD
03-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PH,653,USD
13-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,US,397,USD
31-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,JP,281,USD
04-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,GR,648,USD
08-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PE,456,USD
20-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,AF,600,USD
02-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,BY,148,USD
05-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,JP,802,USD
24-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,VN,851,USD
22-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,440,USD
27-Sep-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,375,USD
10-Nov-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,548,USD
19-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,RU,752,USD
25-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CA,572,USD
17-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,903,USD
11-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,EC,648,USD
14-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,173,USD
01-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,PT,861,USD
12-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,RU,628,USD
18-Oct-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,CN,308,USD
05-Jan-22,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,MN,968,USD
06-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,ID,130,USD
21-Dec-21,Job Done,Ever Technologies LTD,booster@qwerty.co.ke,UG,866,USD
27-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CZ,455,USD
28-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ES,980,USD
25-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PA,668,USD
26-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,995,USD
03-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PH,478,USD
08-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PT,796,USD
27-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,UZ,150,USD
14-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,US,268,USD
21-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PH,950,USD
17-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,730,USD
28-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,GR,840,USD
27-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,FR,572,USD
16-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PT,604,USD
16-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,AL,767,USD
02-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,714,USD
09-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,100,USD
27-Sep-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,991,USD
23-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,189,USD
03-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,TJ,420,USD
09-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ZM,459,USD
15-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,EC,167,USD
20-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PT,345,USD
19-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,BR,481,USD
16-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CO,590,USD
13-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,695,USD
18-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,IR,331,USD
21-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PL,925,USD
31-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,940,USD
11-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PL,271,USD
24-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,658,USD
19-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CA,417,USD
22-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CM,674,USD
09-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,FI,741,USD
08-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,SE,857,USD
22-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,434,USD
19-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PH,926,USD
26-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,TH,879,USD
09-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,908,USD
07-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PS,111,USD
01-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PH,550,USD
31-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CN,982,USD
07-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,RU,370,USD
20-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,242,USD
28-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,RU,667,USD
11-Nov-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,LK,713,USD
17-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,530,USD
13-Oct-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,859,USD
08-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,ID,775,USD
12-Jan-22,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,PL,146,USD
03-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,TH,214,USD
23-Dec-21,Job Done,Ever Technologies LTD,yoster@qwerty.co.ke,CO,944,USD
16-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,HN,287,USD
19-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,BR,150,USD
22-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,MA,769,USD
20-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,MQ,505,USD
13-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,BS,410,USD
26-Dec-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,AR,733,USD
27-Sep-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,MX,228,USD
24-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,FR,735,USD
14-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,BR,612,USD
07-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,CN,131,USD
16-Nov-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,PL,1000,USD
03-Dec-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,ID,397,USD
12-Nov-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,CD,202,USD
10-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,RU,158,USD
02-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,PH,819,USD
14-Nov-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,TH,682,USD
23-Dec-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,ID,414,USD
13-Jan-22,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,SE,448,USD
10-Nov-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,CN,915,USD
07-Oct-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,PE,834,USD
02-Nov-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,PH,886,USD
17-Dec-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,PT,489,USD
28-Sep-21,Job Done,Ever Technologies LTD,hoster@qwerty.co.ke,TH,549,USD
